Sample ID,Collection Date,iNat User,url,place_guess,latitude,longitude,scientific_name,common_name,plant health condition,plant symptom,Dieback percent,site type,site/area disturbance level,site hydrology,site/location description,slope position,percent of plants (of same species) affected within sight (%),regeneration present?,soil sample number,Phytophthora likely,Notes,Notes Extra
FZJ001,10/28/24,imontejano05,https://www.inaturalist.org/observations/249522107,"Mercer Island, Mercer Island, WA, US",47.56543,-122.213,Polystichum munitum,western sword fern,Poor,Browning fronds,60,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,No selection,5,No there are not any new plants,SF1,,,
FZJ002,10/28/24,imontejano05,https://www.inaturalist.org/observations/249522887,"Mercer Island, Mercer Island, WA, US",47.5653,-122.213,Polystichum munitum,western sword fern,Poor,Browning fronds,75,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Middle of a slope,15,Not Sure,SF2,,,
FZJ003,10/28/24,imontejano05,https://www.inaturalist.org/observations/249523063,"Mercer Island, Mercer Island, WA, US",47.56523,-122.213,Polystichum munitum,western sword fern,Good,Healthy,2,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Lower slope,3,No there are not any new plants,SF3,,,
FZJ004,10/28/24,imontejano05,https://www.inaturalist.org/observations/249523844,"Mercer Island, Mercer Island, WA, US",47.56516,-122.213,Polystichum munitum,western sword fern,Dead,Collapse of All Fronds,100,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,5,No Selection,SF4,Yes,,
FZJ005,10/28/24,figgywiggums,https://www.inaturalist.org/observations/249524480,"Mercer Island, Mercer Island, WA, US",47.56513,-122.213,Polystichum munitum,western sword fern,Dead,Dead,100,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Lower slope,2,No there are not any new plants,SF5,,,
FZJ006,10/28/24,imontejano05,https://www.inaturalist.org/observations/249525347,"Mercer Island, Mercer Island, WA, US",47.5649,-122.213,Polystichum munitum,western sword fern,Dead,Dead,0,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,3,No there are not any new plants,SF6,,,
FZJ007,10/28/24,imontejano05,https://www.inaturalist.org/observations/249527191,"Mercer Island, Mercer Island, WA, US",47.5651,-122.213,Polystichum munitum,western sword fern,Fair,No Selection,60,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,3,No there are not any new plants,SF7,,,
FZJ008,10/28/24,imontejano05,https://www.inaturalist.org/observations/249528415,"Mercer Island, Mercer Island, WA, US",47.56495,-122.213,Polystichum munitum,western sword fern,Good,Browning fronds,2,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,1,No there are not any new plants,SF8,,,
FZJ009,10/28/24,imontejano05,https://www.inaturalist.org/observations/249528757,"Mercer Island, Mercer Island, WA, US",47.565,-122.213,Polystichum munitum,western sword fern,Good,Collapse of Some Fronds,40,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Middle of a slope,2,Yes there are new plants,SF9,,,
FZJ010,10/28/24,imontejano05,https://www.inaturalist.org/observations/249538374,"Mercer Island, Mercer Island, WA, US",47.56509,-122.212,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,45,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Lower slope,1,No there are not any new plants,SF10,,,
