"Trial.x","Fern.Number","Healthy.Fronds","Crispy.Fronds","Fiddleheads","Root.Rating..tentative.","Number.of.Weevils","Notes","Experiment","Trial.y","Treatment","Weight..g."
"Inoculation Trial Two","BLAA1",34,2,3,2,0,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial One","BLAA155",0,29,0,NA,NA,"","Inoculation","Inoculation Trial One","Control - Blank Agar",2.74
"Inoculation Trial One","BLAA156",15,29,0,NA,NA,"","Inoculation","Inoculation Trial One","Control - Blank Agar",6.92
"Inoculation Trial One","BLAA157",14,33,1,NA,NA,"","Inoculation","Inoculation Trial One","Control - Blank Agar",8.07
"Inoculation Trial Two","BLAA2",0,22,1,3,0,"centipedes",NA,NA,NA,NA
"Inoculation Trial Two","BLAA3",16,0,3,3,1,"",NA,NA,NA,NA
"Inoculation Trial Two","BLAA4",6,10,1,3,0,"centipede",NA,NA,NA,NA
"Inoculation Trial Two","BLAA5",13,11,2,3,0,"centipede, earthworm",NA,NA,NA,NA
"Inoculation Trial Two","BLAA6",9,15,2,2,1,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","BLAB1",0,13,1,3,0,"",NA,NA,NA,NA
"Inoculation Trial One","BLAB164",12,52,2,NA,NA,"","Inoculation","Inoculation Trial One","Control - Blank Agar",13.26
"Inoculation Trial One","BLAB165",9,36,2,NA,NA,"","Inoculation","Inoculation Trial One","Control - Blank Agar",3.64
"Inoculation Trial One","BLAB166",9,30,0,NA,NA,"","Inoculation","Inoculation Trial One","Control - Blank Agar",9.46
"Inoculation Trial Two","BLAB2",5,23,2,2,2,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","BLAB3",2,22,2,1,2,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","BLAB4",8,15,2,3,2,"",NA,NA,NA,NA
"Inoculation Trial Two","BLAB5",4,11,1,1,0,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","BLAB6",0,5,2,3,0,"centipedes, earrhworms",NA,NA,NA,NA
"Seward Trial One","C01",29,3,1,NA,0,"eggs?","Seward Soil","Seward Trial One","Sterilized",14.11
"Seward Trial One","C02",35,2,0,NA,2,"weevil larvae","Seward Soil","Seward Trial One","Sterilized",34.32
"Seward Trial One","C03",30,3,2,NA,1,"adult weevil","Seward Soil","Seward Trial One","Sterilized",37.76
"Seward Trial One","C04",34,0,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",17.52
"Seward Trial One","C05",4,12,0,NA,2,"weevil larvae","Seward Soil","Seward Trial One","Sterilized",13.95
"Seward Trial One","C06",6,1,1,NA,3,"many dead leaf stalks (no fronds)","Seward Soil","Seward Trial One","Sterilized",16.76
"Seward Trial One","C07",11,0,0,NA,1,"loose rizome base, weevil larvae","Seward Soil","Seward Trial One","Sterilized",22.62
"Seward Trial One","C08",19,8,0,NA,1,"weevil larvae","Seward Soil","Seward Trial One","Sterilized",12.49
"Seward Trial One","C09",6,2,0,NA,0,"loose rizome base","Seward Soil","Seward Trial One","Sterilized",7.56
"Seward Trial One","C10",7,18,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",9.56
"Seward Trial One","C11",NA,NA,NA,NA,NA,"already taken down",NA,NA,NA,NA
"Seward Trial One","C12",22,13,1,NA,1,"","Seward Soil","Seward Trial One","Sterilized",26.13
"Seward Trial One","C13",17,27,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",41.03
"Seward Trial One","C14",25,9,0,NA,1,"","Seward Soil","Seward Trial One","Sterilized",19.11
"Seward Trial One","C15",19,30,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",15.79
"Seward Trial One","C16",5,12,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",19.47
"Seward Trial One","C17",30,5,1,NA,0,"","Seward Soil","Seward Trial One","Sterilized",25.48
"Seward Trial One","C18",25,17,1,NA,0,"","Seward Soil","Seward Trial One","Sterilized",43.7
"Seward Trial One","C19",13,8,1,NA,0,"","Seward Soil","Seward Trial One","Sterilized",28.18
"Seward Trial One","C20",18,16,1,NA,0,"","Seward Soil","Seward Trial One","Sterilized",34.98
"Seward Trial One","C21",9,10,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",4.62
"Seward Trial One","C22",26,5,1,NA,1,"","Seward Soil","Seward Trial One","Sterilized",10.51
"Seward Trial One","C23",NA,NA,NA,NA,NA,"already taken down",NA,NA,NA,NA
"Seward Trial One","C24",13,23,4,NA,1,"","Seward Soil","Seward Trial One","Sterilized",13.5
"Seward Trial One","C25",40,8,4,NA,1,"","Seward Soil","Seward Trial One","Sterilized",7.05
"Seward Trial One","C26",25,22,3,NA,0,"","Seward Soil","Seward Trial One","Sterilized",27.42
"Seward Trial One","C27",28,8,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",13.58
"Seward Trial One","C28",11,12,5,NA,0,"","Seward Soil","Seward Trial One","Sterilized",4.56
"Seward Trial One","C29",10,13,2,NA,1,"adult weevil","Seward Soil","Seward Trial One","Sterilized",28.02
"Seward Trial One","C30",34,0,1,NA,1,"adult weevil","Seward Soil","Seward Trial One","Sterilized",13.57
"Seward Trial One","C31",24,5,1,NA,1,"","Seward Soil","Seward Trial One","Sterilized",8.08
"Seward Trial One","C32",30,9,1,NA,0,"","Seward Soil","Seward Trial One","Sterilized",6.12
"Seward Trial One","C33",20,2,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",10.49
"Seward Trial One","C34",41,9,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",8.03
"Seward Trial One","C35",13,3,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",16.13
"Seward Trial One","C36",10,19,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",8.27
"Seward Trial One","C37",26,7,2,NA,0,"","Seward Soil","Seward Trial One","Sterilized",31.18
"Seward Trial One","C38",12,26,4,NA,0,"","Seward Soil","Seward Trial One","Sterilized",25.88
"Seward Trial One","C39",29,17,3,NA,0,"","Seward Soil","Seward Trial One","Sterilized",14.93
"Seward Trial One","C40",5,21,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",8.57
"Seward Trial One","C41",7,14,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",12.29
"Seward Trial One","C42",5,38,2,NA,0,"","Seward Soil","Seward Trial One","Sterilized",18.42
"Seward Trial One","C43",10,39,1,NA,0,"","Seward Soil","Seward Trial One","Sterilized",15.94
"Seward Trial One","C44",12,26,4,NA,0,"","Seward Soil","Seward Trial One","Sterilized",6.64
"Seward Trial One","C45",6,19,0,NA,0,"","Seward Soil","Seward Trial One","Sterilized",15.12
"Seward Trial Two","C46",24,19,1,NA,NA,"C46-C68 table 1, didn't get watered for ~2 weeks affecting frond conditions","Seward Soil","Seward Trial Two","Sterilized",13.5
"Seward Trial Two","C47",29,5,1,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",10.21
"Seward Trial Two","C48",9,12,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",12.01
"Seward Trial Two","C49",16,20,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",10.79
"Seward Trial Two","C50",0,51,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",14.17
"Seward Trial Two","C51",1,22,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",15.61
"Seward Trial Two","C52",32,13,1,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",14.76
"Seward Trial Two","C53",0,42,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",20.77
"Seward Trial Two","C54",36,7,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",21.29
"Seward Trial Two","C55",0,38,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",32.07
"Seward Trial Two","C56",29,22,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",31.33
"Seward Trial Two","C57",26,4,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",18.5
"Seward Trial Two","C58",16,16,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",25.31
"Seward Trial Two","C59",9,25,1,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",10.84
"Seward Trial Two","C60",13,18,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",19.05
"Seward Trial Two","C61",20,4,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",11
"Seward Trial Two","C62",11,12,2,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",17.64
"Seward Trial Two","C63",0,36,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",10.39
"Seward Trial Two","C64",3,31,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",20.49
"Seward Trial Two","C65",15,8,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",14
"Seward Trial Two","C66",6,32,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",11.6
"Seward Trial Two","C67",22,12,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",12.47
"Seward Trial Two","C68",26,15,0,NA,NA,"C68-C89 table 2, watered normally","Seward Soil","Seward Trial Two","Sterilized",14.96
"Seward Trial Two","C69",12,39,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",33.6
"Seward Trial Two","C70",9,17,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",13.55
"Seward Trial Two","C71",9,22,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",27.15
"Seward Trial Two","C72",14,30,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",11.67
"Seward Trial Two","C73",27,20,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",32.76
"Seward Trial Two","C74",18,12,1,NA,NA,"earthworm","Seward Soil","Seward Trial Two","Sterilized",9.69
"Seward Trial Two","C75",20,22,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",30.38
"Seward Trial Two","C76",9,9,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",11.88
"Seward Trial Two","C77",28,36,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",25.05
"Seward Trial Two","C78",23,20,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",10.35
"Seward Trial Two","C79",44,31,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",10.56
"Seward Trial Two","C80",19,31,1,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",14.35
"Seward Trial Two","C81",18,32,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",25.01
"Seward Trial Two","C82",12,28,1,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",9.33
"Seward Trial Two","C83",21,36,1,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",11.21
"Seward Trial Two","C84",28,18,4,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",9.79
"Seward Trial Two","C85",48,13,1,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",14.38
"Seward Trial Two","C86",20,39,3,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",11.67
"Seward Trial Two","C87",19,46,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",14.61
"Seward Trial Two","C88",27,17,0,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",13.48
"Seward Trial Two","C89",41,19,1,NA,NA,"","Seward Soil","Seward Trial Two","Sterilized",12.4
"Inoculation Trial One","CACA080",6,32,2,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cactorum",4.73
"Inoculation Trial One","CACA081",1,28,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cactorum",3.19
"Inoculation Trial One","CACA082",15,23,1,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cactorum",7.05
"Inoculation Trial One","CACB089",1,41,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cactorum",2.95
