Trial,Fern Number,Healthy Fronds,Crispy Fronds,Fiddleheads,Root Rating (tentative),Number of Weevils,Notes
Seward Trial Two,P01,5,31,1,,,"P01-P09 on table 1, didn't get watered for ~2 weeks affecting frond conditions"
Seward Trial Two,P02,16,24,1,,,
Seward Trial Two,P03,5,29,0,,,
Seward Trial Two,P04,21,11,1,,,
Seward Trial Two,P05,21,13,0,,,
Seward Trial Two,P06,24,11,2,,,
Seward Trial Two,P07,18,18,0,,,
Seward Trial Two,P08,4,20,0,,,
Seward Trial Two,P09,17,10,0,,,
Seward Trial Two,P10,13,12,3,,,start of table 2
Seward Trial Two,P11,15,30,0,,,
Seward Trial Two,P12,28,27,0,,,
Seward Trial Two,P13,11,2,0,,,
Seward Trial Two,P14,11,23,2,,,
Seward Trial Two,P15,16,28,0,,,
Seward Trial Two,P16,26,28,3,,,
Seward Trial Two,P17,14,19,0,,,
Seward Trial Two,P18,21,32,2,,,
Seward Trial Two,W46,29,9,1,,,"W46-W68 table 1, didn't get watered for ~2 weeks affecting frond conditions"
Seward Trial Two,W47,20,30,0,,,
Seward Trial Two,W48,0,52,0,,,
Seward Trial Two,W49,5,40,1,,,
Seward Trial Two,W50,4,51,0,,,
Seward Trial Two,W51,25,9,1,,,
Seward Trial Two,C46,24,19,1,,,"C46-C68 table 1, didn't get watered for ~2 weeks affecting frond conditions"
Seward Trial Two,C47,29,5,1,,,
Seward Trial Two,C48,9,12,0,,,
Seward Trial Two,C49,16,20,0,,,
Seward Trial Two,C50,0,51,0,,,
Seward Trial Two,C51,1,22,0,,,
Seward Trial Two,W52,0,50,0,,,
Seward Trial Two,W53,35,3,0,,,
Seward Trial Two,W54,16,21,0,,,
Seward Trial Two,W55,31,3,1,,,
Seward Trial Two,W56,11,2,6,,,
Seward Trial Two,W57,0,40,0,,,
Seward Trial Two,C52,32,13,1,,,
Seward Trial Two,C53,0,42,0,,,
Seward Trial Two,C54,36,7,0,,,
Seward Trial Two,C55,0,38,0,,,
Seward Trial Two,C56,29,22,0,,,
Seward Trial Two,C57,26,4,0,,,
Seward Trial Two,W58,8,27,0,,,
Seward Trial Two,W59,8,24,1,,,
Seward Trial Two,W60,17,5,0,,,
Seward Trial Two,W61,6,31,0,,,
Seward Trial Two,W62,21,19,3,,,
Seward Trial Two,W63,4,29,0,,,
Seward Trial Two,W64,11,19,0,,,
Seward Trial Two,W65,5,23,0,,,
Seward Trial Two,W66,14,38,0,,,
Seward Trial Two,W67,0,39,0,,,
Seward Trial Two,W68,13,27,0,,,"W68-W89 table 2, watered normally"
Seward Trial Two,W69,26,28,0,,,
Seward Trial Two,C58,16,16,0,,,
Seward Trial Two,C59,9,25,1,,,
Seward Trial Two,C60,13,18,0,,,
Seward Trial Two,C61,20,4,0,,,
Seward Trial Two,C62,11,12,2,,,
Seward Trial Two,C63,0,36,0,,,
Seward Trial Two,C64,3,31,0,,,
Seward Trial Two,C65,15,8,0,,,
Seward Trial Two,C66,6,32,0,,,
Seward Trial Two,C67,22,12,0,,,
Seward Trial Two,C68,26,15,0,,,"C68-C89 table 2, watered normally"
Seward Trial Two,C69,12,39,0,,,
Seward Trial Two,C70,9,17,0,,,
Seward Trial Two,C71,9,22,0,,,
Seward Trial Two,C72,14,30,0,,,
Seward Trial Two,C73,27,20,0,,,
Seward Trial Two,C74,18,12,1,,,earthworm
Seward Trial Two,C75,20,22,0,,,
Seward Trial Two,W70,12,25,0,,,
Seward Trial Two,W71,8,10,0,,,
Seward Trial Two,W72,21,9,1,,,
Seward Trial Two,W73,20,19,1,,,
Seward Trial Two,W74,13,28,0,,,
Seward Trial Two,W75,22,20,2,,,
Seward Trial Two,W76,29,20,0,,,
Seward Trial Two,W77,24,22,0,,,
Seward Trial Two,W78,22,44,1,,,
Seward Trial Two,W79,13,27,1,,,
Seward Trial Two,W80,9,3,1,,,earthworm
Seward Trial Two,W81,24,15,0,,,
Seward Trial Two,C76,9,9,0,,,
Seward Trial Two,C77,28,36,0,,,
Seward Trial Two,C78,23,20,0,,,
Seward Trial Two,C79,44,31,0,,,
Seward Trial Two,C80,19,31,1,,,
Seward Trial Two,C81,18,32,0,,,
Seward Trial Two,C82,12,28,1,,,
Seward Trial Two,C83,21,36,1,,,
Seward Trial Two,C84,28,18,4,,,
Seward Trial Two,C85,48,13,1,,,
Seward Trial Two,C86,20,39,3,,,
Seward Trial Two,C87,19,46,0,,,
Seward Trial Two,C88,27,17,0,,,
Seward Trial Two,C89,41,19,1,,,
Seward Trial Two,W82,14,18,0,,,
Seward Trial Two,W83,11,17,2,,,
Seward Trial Two,W84,26,12,1,,,
Seward Trial Two,W85,14,31,4,,,
Seward Trial Two,W86,12,38,0,,,spider
Seward Trial Two,W87,11,13,0,,,earthworm
Seward Trial Two,W88,4,25,0,,,
Seward Trial Two,W89,24,15,1,,,
Seward Trial One,C01,29,3,1,,0,eggs?
Seward Trial One,C02,35,2,0,,2,weevil larvae
Seward Trial One,C03,30,3,2,,1,adult weevil
Seward Trial One,C04,34,0,0,,0,
Seward Trial One,C05,4,12,0,,2,weevil larvae
Seward Trial One,W01,33,1,1,,0,
Seward Trial One,W02,14,12,0,,0,
Seward Trial One,W03,7,4,0,,0,
Seward Trial One,W04,9,2,0,,3,weevil larvae
Seward Trial One,W05,18,3,0,,2,weevil larvae
Seward Trial One,C06,6,1,1,,3,many dead leaf stalks (no fronds)
Seward Trial One,C07,11,0,0,,1,"loose rizome base, weevil larvae"
Seward Trial One,C08,19,8,0,,1,weevil larvae
Seward Trial One,C09,6,2,0,,0,loose rizome base
Seward Trial One,C10,7,18,0,,0,
Seward Trial One,W06,29,2,2,,0,
Seward Trial One,W07,8,6,2,,0,
Seward Trial One,W08,20,12,3,,0,
Seward Trial One,W09,10,2,0,,0,
Seward Trial One,W10,NA,NA,NA,,NA,already taken down
Seward Trial One,W11,33,11,0,,0,
Seward Trial One,C11,NA,NA,NA,,NA,already taken down
Seward Trial One,C12,22,13,1,,1,
Seward Trial One,C13,17,27,0,,0,
Seward Trial One,C14,25,9,0,,1,
Seward Trial One,C15,19,30,0,,0,
Seward Trial One,C16,5,12,0,,0,
Seward Trial One,C17,30,5,1,,0,
Seward Trial One,C18,25,17,1,,0,
Seward Trial One,C19,13,8,1,,0,
Seward Trial One,C20,18,16,1,,0,
Seward Trial One,C21,9,10,0,,0,
Seward Trial One,W12,24,11,0,,0,
Seward Trial One,W13,23,2,1,,0,
Seward Trial One,W14,5,22,3,,1,
Seward Trial One,W15,17,16,0,,0,
Seward Trial One,W16,4,15,1,,0,
Seward Trial One,C22,26,5,1,,1,
Seward Trial One,C23,NA,NA,NA,,NA,already taken down
Seward Trial One,C24,13,23,4,,1,
Seward Trial One,C25,40,8,4,,1,
Seward Trial One,C26,25,22,3,,0,
Seward Trial One,C27,28,8,0,,0,
Seward Trial One,W17,0,0,0,,0,
Seward Trial One,W18,4,0,0,,0,
Seward Trial One,W19,15,2,1,,0,
Seward Trial One,W20,37,4,1,,0,
Seward Trial One,W21,19,6,0,,0,
Seward Trial One,W22,NA,NA,NA,,NA,already taken down
Seward Trial One,W23,10,2,0,,0,
Seward Trial One,W24,8,8,0,,2,weevil larvae
Seward Trial One,W25,8,3,0,,0,
Seward Trial One,W26,8,25,3,,0,
Seward Trial One,W27,18,12,0,,0,
Seward Trial One,C28,11,12,5,,0,
Seward Trial One,C29,10,13,2,,1,adult weevil
Seward Trial One,C30,34,0,1,,1,adult weevil
Seward Trial One,C31,24,5,1,,1,
Seward Trial One,C32,30,9,1,,0,
Seward Trial One,W28,28,2,0,,0,
Seward Trial One,W29,29,7,2,,1,"insect soap 1/6/25, adult weevil"
Seward Trial One,W30,12,27,0,,0,
Seward Trial One,W31,23,9,0,,2,"1 larvae, 1 adult weevil"
Seward Trial One,W32,39,6,2,,0,
Seward Trial One,W33,6,6,0,,0,
Seward Trial One,W34,8,36,0,,0,
Seward Trial One,W35,30,16,1,,0,
Seward Trial One,W36,7,34,0,,0,
Seward Trial One,W37,18,4,0,,0,
Seward Trial One,C33,20,2,0,,0,
Seward Trial One,C34,41,9,0,,0,
Seward Trial One,C35,13,3,0,,0,
Seward Trial One,C36,10,19,0,,0,
Seward Trial One,C37,26,7,2,,0,
Seward Trial One,W38,14,12,3,,0,
Seward Trial One,W39,6,29,2,,0,
Seward Trial One,W40,29,12,0,,0,
Seward Trial One,W41,4,12,0,,0,
Seward Trial One,W42,6,18,2,,1,
Seward Trial One,C38,12,26,4,,0,
Seward Trial One,C39,29,17,3,,0,
Seward Trial One,C40,5,21,0,,0,
Seward Trial One,C41,7,14,0,,0,
Seward Trial One,C42,5,38,2,,0,
Seward Trial One,C43,10,39,1,,0,
Seward Trial One,C44,12,26,4,,0,
Seward Trial One,C45,6,19,0,,0,
Seward Trial One,W43,20,14,1,,0,
Seward Trial One,W44,13,13,1,,0,
Seward Trial One,W45,4,7,0,,0,
Inoculation Trial Two,NONEA1,9,9,3,3,0,"Worm in roots, unclear why plant appears unhealthy "
Inoculation Trial Two,NONEA2,9,16,3,3,0,
Inoculation Trial Two,NONEA3,14,1,3,3,2,
Inoculation Trial Two,NONEA4,18,7,3,3,1,
Inoculation Trial Two,NONEA5,15,9,3,3,2,
Inoculation Trial Two,NONEA6,26,8,3,3,0,
Inoculation Trial Two,NONEB1,15,15,2,3,1,Found weevil in none ferns unsure which one specifically
Inoculation Trial Two,NONEB2,4,14,2,3,0,tiny earthworm
Inoculation Trial Two,NONEB3,12,19,2,2,0,
Inoculation Trial Two,NONEB4,8,6,2,3,2,earthworm
Inoculation Trial Two,NONEB5,9,6,2,3,3,
Inoculation Trial Two,NONEB6,12,8,3,3,0,
Inoculation Trial Two,OCCA1,21,2,3,3,2,
Inoculation Trial Two,OCCA2,15,4,1,3,0,
Inoculation Trial Two,OCCA3,19,2,2,3,1,earthworm
Inoculation Trial Two,OCCA4,7,4,3,3,1,
Inoculation Trial Two,OCCA5,2,13,1,3,0,
Inoculation Trial Two,OCCA6,15,6,3,3,0,
Inoculation Trial Two,OCCB1,4,13,2,3,0,earthworm
Inoculation Trial Two,OCCB2,2,14,2,3,0,
Inoculation Trial Two,OCCB3,32,8,3,3,1,earthworm
Inoculation Trial Two,OCCB4,11,10,2,2,1,juvenile weevil
Inoculation Trial Two,OCCB5,3,6,2,3,0,
Inoculation Trial Two,OCCB6,14,9,3,3,0,
Inoculation Trial Two,CAMA1,1,6,1,3,1,
Inoculation Trial Two,CAMA2,15,16,1,3,0,earthworm
Inoculation Trial Two,CAMA3,7,19,2,3,1,
Inoculation Trial Two,CAMA4,9,15,3,2,3,weevil larvae
Inoculation Trial Two,CAMA5,0,14,2,3,0,
Inoculation Trial Two,CAMA6,1,15,1,3,0,
Inoculation Trial Two,CAMB1,16,3,3,3,0,"centipedes, earthworms"
Inoculation Trial Two,CAMB2,10,17,3,3,0,
Inoculation Trial Two,CAMB3,19,8,3,3,0,
Inoculation Trial Two,CAMB4,7,14,3,3,0,
Inoculation Trial Two,CAMB5,15,13,1,3,0,
Inoculation Trial Two,CAMB6,7,14,3,3,1,
Inoculation Trial Two,PLUA1,12,15,2,3,2,
Inoculation Trial Two,PLUA2,24,5,3,3,1,
Inoculation Trial Two,PLUA3,9,13,2,3,0,
Inoculation Trial Two,PLUA4,4,9,1,3,1,
Inoculation Trial Two,PLUA5,6,12,3,3,0,
Inoculation Trial Two,PLUA6,11,35,3,3,3,
Inoculation Trial Two,PLUB1,9,15,2,3,0,
Inoculation Trial Two,PLUB2,2,20,1,3,0,
Inoculation Trial Two,PLUB3,10,16,3,2,0,weevil larvae
Inoculation Trial Two,PLUB4,11,35,2,1,3,weevil larvae and adult weevil
Inoculation Trial Two,PLUB5,13,24,2,3,2,larvae and transitional larvae
Inoculation Trial Two,PLUB6,8,14,3,2,2,
Inoculation Trial Two,EURA1,7,16,3,3,0,
Inoculation Trial Two,EURA2,12,15,2,2,1,weevil larvae
Inoculation Trial Two,EURA3,0,17,1,3,0,earthworm
Inoculation Trial Two,EURA4,7,21,2,2,1,"baby earthworm, adult weevil"
Inoculation Trial Two,EURA5,5,6,2,3,0,
Inoculation Trial Two,EURA6,0,20,1,2,1,juvenile weevil
Inoculation Trial Two,EURB1,4,25,2,2,0,"dwarfed fronds, weevil larvae"
Inoculation Trial Two,EURB2,3,12,2,2,1,weevil larvae
