Measurement,Measurement Period,Conductance,Temperature,Sample ID,Plant Number,Trail,Treatment,Plant.Measurement,Sensor,Sensor,Leaf Sensor,Filter Sensor,Sensor,Sensor,Sensor,Sensor
1/29/2025 1:13 PM,Measurement 1,319.3,33.2,C01-1,C01,1,Sterilized,1,LPS4408,2502000,47.0,23.8,,,,
1/29/2025 1:18 PM,Measurement 1,329.2,30.6,C01-2,C01,1,Sterilized,2,LPS4408,2502000,48.2,25.0,,,,
1/29/2025 1:21 PM,Measurement 1,197.0,30.2,W01-1,W01,1,Wild,1,LPS4408,2502000,38.5,19.3,,,,
1/29/2025 1:23 PM,Measurement 1,260.1,30.0,W01-2,W01,1,Wild,2,LPS4408,2502000,43.2,21.4,,,,
1/29/2025 1:46 PM,Measurement 1,165.2,28.9,CO6-1,C06,1,Sterilized,1,LPS4408,2502000,35.3,17.6,,,,
1/29/2025 1:48 PM,Measurement 1,128.1,28.3,CO6-2,C06,1,Sterilized,2,LPS4408,2502000,31.3,15.9,,,,
1/29/2025 1:49 PM,Measurement 1,136.8,28.1,WO6-1,W06,1,Wild,1,LPS4408,2502000,33.0,17.1,,,,
1/29/2025 1:51 PM,Measurement 1,224.5,27.9,WO6-2,W06,1,Wild,2,LPS4408,2502000,40.9,20.5,,,,
1/29/2025 1:52 PM,Measurement 1,218.5,27.6,CO7-1,C07,1,Sterilized,1,LPS4408,2502000,39.8,19.4,,,,
1/29/2025 1:54 PM,Measurement 1,243.4,27.3,CO7-2,C07,1,Sterilized,2,LPS4408,2502000,41.9,20.6,,,,
1/29/2025 1:55 PM,Measurement 1,315.0,27.2,WO7-1,W07,1,Wild,1,LPS4408,2502000,46.5,23.0,,,,
1/29/2025 1:57 PM,Measurement 1,450.0,27.0,WO7-2,W07,1,Wild,2,LPS4408,2502000,52.1,25.6,,,,
1/29/2025 1:58 PM,Measurement 1,134.4,26.8,C10-1,C10,1,Sterilized,1,LPS4408,2502000,31.6,15.6,,,,
1/29/2025 2:00 PM,Measurement 1,266.3,26.6,C10-2,C10,1,Sterilized,2,LPS4408,2502000,43.8,21.8,,,,
1/29/2025 2:01 PM,Measurement 1,101.0,26.5,W10-1,W10,1,Wild,1,LPS4408,2502000,27.2,13.7,,,,
1/29/2025 2:02 PM,Measurement 1,327.9,26.4,W10-2,W10,1,Wild,2,LPS4408,2502000,46.9,23.0,,,,
1/29/2025 2:04 PM,Measurement 1,246.5,26.2,C18-1,C18,1,Sterilized,1,LPS4408,2502000,42.3,20.9,,,,
1/29/2025 2:06 PM,Measurement 1,291.1,26.2,C18-2,C18,1,Sterilized,2,LPS4408,2502000,45.3,22.5,,,,
1/29/2025 2:07 PM,Measurement 1,336.8,26.3,W18-1,W18,1,Wild,1,LPS4408,2502000,47.7,23.6,,,,
1/29/2025 2:09 PM,Measurement 1,424.6,26.3,W18-2,W18,1,Wild,2,LPS4408,2502000,51.3,25.3,,,,
1/29/2025 2:11 PM,Measurement 1,271.5,26.1,C21-1,C21,1,Sterilized,1,LPS4408,2502000,43.1,20.5,,,,
1/29/2025 2:13 PM,Measurement 1,59.9,26.0,C21-2,C21,1,Sterilized,2,LPS4408,2502000,17.3,7.5,,,,
1/29/2025 2:15 PM,Measurement 1,174.6,26.0,W21-1,W21,1,Wild,1,LPS4408,2502000,36.4,18.2,,,,
1/29/2025 2:16 PM,Measurement 1,125.4,26.0,W21-2,W21,1,Wild,2,LPS4408,2502000,29.9,14.4,,,,
1/29/2025 2:17 PM,Measurement 1,210.2,26.1,C22-1,C22,1,Sterilized,1,LPS4408,2502000,40.1,20.4,,,,
1/29/2025 2:19 PM,Measurement 1,336.1,26.1,C22-2,C22,1,Sterilized,2,LPS4408,2502000,46.6,22.0,,,,
1/29/2025 2:21 PM,Measurement 1,257.4,25.9,W22-1,W22,1,Wild,1,LPS4408,2502000,43.3,21.5,,,,
1/29/2025 2:22 PM,Measurement 1,164.2,25.9,W22-2,W22,1,Wild,2,LPS4408,2502000,35.3,17.5,,,,
