Sample Extraction Number,Isolate Name,Sample Number (Soil or Tissue),Secondary Isolation Number,Sample Substrate,Priority,Date Extracted,Extraction Kit,Qubit (ng/ul),Notes,PCR Amplification Date,Successful Amplification?,Tentative Results (Internal NCBI Oomcycete including voucher blast),Genus,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0086,Control rhody petiole 3,Control rhody petiole 3,,Leaf,,4/2/25,Prepman,10.4,low quality sequence,"5/2/2025, 5/7/25",Y,,,,,,,,,,,,,,,,,,,,,,,,,
,FZJ130 Soil,FZJ130,1,Soil,Y,5/6/25,Prepman,,not enough mycelia growth to extract,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0001,Ft. Ward Western Redcedar Site 3,Ft. Ward Western Redcedar Site 3,,,,2/14/25,Prepman,1.95,"Mycelia scraped on Feb 13, 2025","5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0001 - More,Ft. Ward Western Redcedar Site 3,Ft. Ward Western Redcedar Site 3,,,,2/14/25,Prepman,13.4,"Mycelia scraped on Feb 13, 2025, More mycelia scraped to help determine best amount for prepman",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0093,FZJ001-1 Soil,FZJ001,1,Soil,,4/25/25,Prepman,5.39,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0094,FZJ001-2 Soil,FZJ001,2,Soil,,4/25/25,Prepman,0.774,,"5/16/2025, 5/20/25",y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0095,FZJ001-3 Soil,FZJ001,3,Soil,,4/25/25,Prepman,0.657,,"5/16/2025, 5/20/25",y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0096,FZJ001-4 Soil,FZJ001,4,Soil,,4/25/25,Prepman,11.1,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0097,FZJ002-1 Soil,FZJ002,1,Soil,,4/25/25,Prepman,6.92,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0098,FZJ003-1 Soil,FZJ003,1,Soil,,4/25/25,Prepman,9.94,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
