,Isolate.ID,Project,Primary.ioslation.date,Date.Extracted.x,Date,Location,Current.Isolate.Status,Phytophthora.likely.x,Morphology,Species,Ready.to.Extract,Media,Backup.Location,Notes.x,Sample.Extraction.Number,Sample.Number..Soil.or.Tissue.,Secondary.Isolation.Number,Sample.Substrate,Priority,Date.Extracted.y,Extraction.Kit,Qubit..ng.ul.,Notes.y,PCR.Amplification.Date,Successful.Amplification.,Tentative.Results..Internal.NCBI.Oomcycete.including.voucher.blast.,Genus,Oomycete,Sample,Isolate Number,Collection.Date,iNat.User,url,place_guess,latitude,longitude,scientific_name,common_name,plant.health.condition,plant.symptom,Dieback.percent,site.type,site.area.disturbance.level,site.hydrology,site.location.description,slope.position,percent.of.plants..of.same.species..affected.within.sight....,regeneration.present.,soil.sample.number,Phytophthora.likely.y,Notes,Notes.Extra
1,FZJ001-1 Soil,Swordfern Soil Bait Isolates,4/9/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Elongisporangium anandrum ,yes,V8B,,,FHL0093,FZJ001,1,Soil,,4/25/25,Prepman,5.39,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,FZJ001,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249522107,"Mercer Island, Mercer Island, WA, US",47.56543,-122.213,Polystichum munitum,western sword fern,Poor,Browning fronds,60,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,No selection,5,No there are not any new plants,SF1,,,
2,FZJ001-2 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Phytophthora syringae,yes,V8B,.,,FHL0094,FZJ001,2,Soil,,4/25/25,Prepman,0.774,,"5/16/2025, 5/20/25",y,Phytophthora syringae,Phytophthora,Oomycete,FZJ001,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249522107,"Mercer Island, Mercer Island, WA, US",47.56543,-122.213,Polystichum munitum,western sword fern,Poor,Browning fronds,60,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,No selection,5,No there are not any new plants,SF1,,,
3,FZJ001-3 Soil,Swordfern Soil Bait Isolates,4/11/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Phytophthora syringae,yes,V8B,.,,FHL0095,FZJ001,3,Soil,,4/25/25,Prepman,0.657,,"5/16/2025, 5/20/25",y,Phytophthora syringae,Phytophthora,Oomycete,FZJ001,3 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249522107,"Mercer Island, Mercer Island, WA, US",47.56543,-122.213,Polystichum munitum,western sword fern,Poor,Browning fronds,60,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,No selection,5,No there are not any new plants,SF1,,,
4,FZJ001-4 Soil,Swordfern Soil Bait Isolates,4/11/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Elongisporangium anandrum ,yes,V8B,,,FHL0096,FZJ001,4,Soil,,4/25/25,Prepman,11.1,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,FZJ001,4 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249522107,"Mercer Island, Mercer Island, WA, US",47.56543,-122.213,Polystichum munitum,western sword fern,Poor,Browning fronds,60,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,No selection,5,No there are not any new plants,SF1,,,
5,FZJ002-1 Soil,Swordfern Soil Bait Isolates,4/10/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,Group 1,Pythium attrantheridium,yes,V8B,,,FHL0097,FZJ002,1,Soil,,4/25/25,Prepman,6.92,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,FZJ002,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249522887,"Mercer Island, Mercer Island, WA, US",47.5653,-122.213,Polystichum munitum,western sword fern,Poor,Browning fronds,75,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Middle of a slope,15,Not Sure,SF2,,,
6,FZJ002-2 Soil,Swordfern Soil Bait Isolates,,,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,Group 1,Pythium attrantheridium,yes,V8B,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZJ002,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249522887,"Mercer Island, Mercer Island, WA, US",47.5653,-122.213,Polystichum munitum,western sword fern,Poor,Browning fronds,75,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Middle of a slope,15,Not Sure,SF2,,,
7,FZJ002-3 Soil,Swordfern Soil Bait Isolates,4/14/25,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZJ002,3 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249522887,"Mercer Island, Mercer Island, WA, US",47.5653,-122.213,Polystichum munitum,western sword fern,Poor,Browning fronds,75,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Middle of a slope,15,Not Sure,SF2,,,
8,FZJ003-1 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Pythium attrantheridium,yes,V8B,,,FHL0098,FZJ003,1,Soil,,4/25/25,Prepman,9.94,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,FZJ003,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249523063,"Mercer Island, Mercer Island, WA, US",47.56523,-122.213,Polystichum munitum,western sword fern,Good,Healthy,2,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Lower slope,3,No there are not any new plants,SF3,,,
9,FZJ004-1 Soil,Swordfern Soil Bait Isolates,4/10/25,,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,Group 19,Phytophthora syringae,yes,V8B,.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZJ004,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249523844,"Mercer Island, Mercer Island, WA, US",47.56516,-122.213,Polystichum munitum,western sword fern,Dead,Collapse of All Fronds,100,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,5,No Selection,SF4,Yes,,
10,FZJ004-2 Soil,Swordfern Soil Bait Isolates,4/11/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Globisporangium intermedium,yes,V8B,,,FHL0099,FZJ004,2,Soil,,4/25/25,Prepman,12.6,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,FZJ004,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249523844,"Mercer Island, Mercer Island, WA, US",47.56516,-122.213,Polystichum munitum,western sword fern,Dead,Collapse of All Fronds,100,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,5,No Selection,SF4,Yes,,
